user_name,First_Pick_Started,minutes_picking,Last_Pick_Completed,Items_Per_Hour,Items/hr(Shift),Lines_Per_Hour2,Lines/hr(Shift),Hours_Picking,Total_Lines,Total_Items,Pct_Lines,Day_of_Week
kane,8:10 AM,101,1:32 PM,509.1,159.9,25.0,7.8,1.68,42,857,3,3
levi,10:06 PM,220,2:51 AM,123.0,95.1,30.0,23.2,3.67,110,451,9,3
logan,12:21 AM,0,12:21 AM,0.0,0.0,0.0,0.0,0.0,1,1,0,3
spiro,12:09 AM,125,2:47 AM,148.8,117.7,31.7,25.1,2.08,66,310,5,3
steve,8:10 PM,234,2:52 AM,248.2,144.5,41.0,23.9,3.9,160,968,13,3
Troy,8:06 AM,274,3:53 PM,274.8,161.3,53.6,31.5,4.57,245,1255,19,3
ben,10:14 PM,138,4:00 AM,290.0,115.7,83.0,33.1,2.3,191,667,10,4
damir,1:12 PM,119,3:51 PM,262.2,196.7,54.5,40.9,1.98,108,520,5,4
davidm,10:11 PM,204,4:06 AM,151.2,87.0,59.7,34.3,3.4,203,514,10,4
gregory,10:17 PM,400,5:18 AM,142.7,135.7,39.3,37.4,6.67,262,951,13,4
justin,6:35 PM,337,1:39 AM,113.9,90.6,31.0,24.6,5.62,174,640,9,4
kane,7:45 AM,220,2:46 PM,223.9,117.2,37.6,19.7,3.67,138,821,7,4
lachlyn,8:12 AM,273,3:47 PM,199.6,119.7,33.8,20.3,4.55,154,908,8,4
levi,10:25 PM,311,5:05 AM,168.0,130.5,38.0,29.5,5.18,197,871,10,4
spiro,12:25 AM,91,2:12 AM,160.9,136.2,51.4,43.6,1.52,78,244,4,4
steve,8:15 PM,311,3:49 AM,187.3,128.4,36.3,24.9,5.18,188,971,10,4
tim,10:27 PM,202,3:41 AM,97.1,62.4,19.6,12.6,3.37,66,327,3,4
Troy,8:11 AM,244,3:43 PM,217.6,117.3,50.9,27.4,4.07,207,885,11,4
ben,10:08 PM,255,5:56 AM,222.8,121.6,58.8,32.1,4.25,250,947,12,5
damir,8:15 AM,138,11:30 AM,173.5,123.0,56.5,40.1,2.3,130,399,6,5
davidm,10:07 PM,230,5:30 AM,201.9,105.0,49.6,25.8,3.83,190,774,9,5
gregory,10:11 PM,263,3:19 AM,113.8,97.2,37.9,32.3,4.38,166,499,8,5
jackr,4:36 PM,0,4:36 PM,0.0,4050.0,0.0,900.0,0.0,2,9,0,5
justin,6:01 PM,366,2:53 AM,142.3,98.0,39.0,26.9,6.1,238,868,11,5
kane,8:12 AM,119,2:41 PM,1005.9,307.6,55.0,16.8,1.98,109,1995,5,5
levi,9:08 PM,329,6:01 AM,181.8,112.3,35.6,22.0,5.48,195,997,9,5
owenl,8:10 AM,148,12:27 PM,231.9,133.1,19.5,11.2,2.47,48,572,2,5
richie,5:10 PM,18730,5:20 PM,0.3,0.3,0.1,0.1,312.17,39,105,2,5
sam,6:20 AM,26,6:46 AM,62.3,63.3,18.5,18.8,0.43,8,27,0,5
spiro,12:16 AM,167,3:44 AM,199.0,159.9,44.6,35.8,2.78,124,554,6,5
steve,8:09 PM,315,3:41 AM,201.3,140.3,47.6,33.2,5.25,250,1057,12,5
tim,10:36 PM,216,4:30 AM,126.9,77.6,40.6,24.8,3.6,146,457,7,5
Troy,8:06 AM,217,4:12 PM,432.2,193.0,51.4,23.0,3.62,186,1563,9,5
damir,8:42 AM,160,2:33 PM,230.3,105.0,47.6,21.7,2.67,127,614,16,6
kane,7:00 AM,141,2:13 PM,183.4,59.8,66.4,21.7,2.35,156,431,20,6
lachlyn,9:09 AM,134,3:50 PM,184.0,61.5,45.7,15.3,2.23,102,411,13,6
logan,3:04 AM,264,7:28 AM,2.7,2.7,2.0,2.1,4.4,9,12,1,6
nateh,11:25 AM,120,2:29 PM,104.0,68.0,33.0,21.6,2.0,66,208,9,6
sam,6:57 AM,40,7:37 AM,172.5,172.1,36.0,35.9,0.67,24,115,3,6
Troy,8:02 AM,292,3:33 PM,232.8,150.5,58.8,38.0,4.87,286,1133,37,6
